id,type,caption,url,commentsCount,likesCount,timestamp,groundtruth
3818654099546470354,Video,"Você já parou para pensar no que passa pela cabeça de quem realiza o sonho da casa própria? Hoje, esse sentimento ganha voz.

Entrevistei os novos moradores do Minha Casa, Minha Vida, que compartilharam a alegria e a emoção de conquistar um lar. Histórias que mostram, na prática, o impacto do programa na vida das pessoas. 🏠

🎥 @ricardostuckert",https://www.instagram.com/p/DT-lavjjnfS/,2191,14038,2026-01-26 14:52:46+00:00,politicas_sociais
3927473747083499112,Sidecar,"Investir em produção de fertilizantes é investir na soberania alimentar do Brasil. A retomada das obras da Unidade de Fertilizantes Nitrogenados III, em Três Lagoas (MS), fortalece nosso agronegócio e a agricultura familiar, e reduz a dependência brasileira por fertilizantes importados.

PRODUÇÃO – A fábrica deve iniciar a operação comercial em 2029, e vai ter capacidade para produzir cerca de 1,3 milhão de toneladas de ureia por ano. Volume equivalente a aproximadamente 16% da demanda nacional.

EMPREGOS – As obras devem gerar aproximadamente 8 mil empregos diretos e indiretos, além de impulsionar a economia regional. Hospedagem, alimentação e serviços são alguns dos setores que serão fortalecidos.

LOGÍSTICA – A fábrica tem localização estratégica. O Centro-Oeste responde por cerca de 40% da demanda brasileira de ureia, impulsionada principalmente pelas culturas de milho, cana-de-açúcar, algodão e pastagens. Além disso, a fábrica vai exportar também para os estados do Sul e Sudeste.

O Brasil não pode ficar na mão do mercado mundial de fertilizantes. Não faz sentido termos a autossuficiência em petróleo, contarmos com uma gigante mundial do porte e da qualidade da Petrobras e, ainda assim, passarmos por dificuldades quando eclodem conflitos internacionais. Guerras que não são nossas. Por isso investimos em fábricas como esta, em Três Lagoas. Produzirmos nossos fertilizantes é questão de soberania!

📸  @ricardostuckert",https://www.instagram.com/p/DaBMJB3lZZo/,887,12187,2026-06-25 18:16:16+00:00,economia_producao
3907719961169768663,Video,"A educação é o único caminho capaz de transformar vidas, gerar oportunidades e construir um país mais justo. Investir em educação é investir no futuro do Brasil.

🎥 @ricardostuckert",https://www.instagram.com/p/DY7ApnHOjDX/,13508,214890,2026-05-29 12:13:23+00:00,politicas_sociais
3907356705415910765,Sidecar,"Hoje vivi um momento histórico para o Brasil. Sancionei a lei que cria a primeira universidade federal indígena do nosso país, uma conquista que fortalece a educação, valoriza os saberes ancestrais e amplia as oportunidades para os povos originários. 🌿📚

A nova universidade nasce para atender às demandas das comunidades indígenas, respeitando suas culturas, línguas e tradições, com ensino, pesquisa e extensão voltados para a realidade dos territórios indígenas. 

Seguimos construindo um Brasil que reconhece sua diversidade e transforma inclusão em política pública. 

📸 @ricardostuckert",https://www.instagram.com/p/DY5uDi1DlVt/,1173,16392,2026-05-29 00:07:18+00:00,politicas_sociais
3926020062663075058,Video,"Recado do dia e um desafio para vocês. Façam a pesquisa: quem foi o presidente que mais investiu no Rio de Janeiro? E em saúde, educação e inclusão social? 

🎥 Audiovisual/PR",https://www.instagram.com/p/DZ8BnIwFuTy/,2747,26847,2026-06-23 18:10:09+00:00,governo_instituicoes
3916694150956038642,Sidecar,"Um país democrático é construído com diálogo e participação social. 

Estive nesta tarde em mais uma plenária do Conselhão, um espaço que é o verdadeiro retrato da nossa diversidade. Ouvir a sociedade civil organizada é o que nos permite governar a muitas mãos e construir um projeto político sólido, respaldado no conhecimento de quem mais entende de cada setor. Um avanço legítimo e com credibilidade.

O grande desafio não é apenas discutir o quanto o país vai continuar crescendo, mas garantir que esse crescimento seja distribuído de forma justa. Como sempre defendemos, governar é colocar a população mais pobre no orçamento.

Agradeço a dedicação de cada conselheiro e conselheira que trabalha para transformar debates em políticas públicas reais. Seguimos firmes, com soberania e a certeza de que o Brasil está no caminho certo, tanto no plano econômico quanto no social.

📸 @ricardostuckert",https://www.instagram.com/p/DZa5JQplbny/,788,10643,2026-06-10 21:19:08+00:00,governo_instituicoes
3896416666954279229,Image,"Assinei hoje uma medida provisória para conter a alta do preço da gasolina, que vem sendo pressionado por uma guerra que não é nossa. Desde o início do conflito, estamos agindo para proteger os brasileiros dos impactos da alta internacional dos combustíveis. Já adotamos medidas para reduzir os efeitos no diesel e no gás de cozinha. Graças a esse trabalho, o Brasil segue entre os países menos afetados pelo conflito no Oriente Médio. Não vamos permitir que a nossa população pague a conta dessa guerra.

📸 Breno Araújo",https://www.instagram.com/p/DYS2lCCuKk9/,2210,35843,2026-05-13 21:52:33+00:00,economia_producao
3860158456645630269,Sidecar,"Uma casa é um ninho. É onde as pessoas vão criar seus filhos. Onde as crianças vão fazer amigos para toda uma vida. Por isso, fico sempre muito feliz quando fazemos entregas como a de hoje, do Minha Casa Minha Vida.

Hoje entregamos 2,2 mil casas para famílias de Santarém, no Pará; de Dias d’Avila, na Bahia; e de Rio Largo e São Braz, em Alagoas. E tive o prazer de receber parte destas famílias no Palácio do Planalto. Realizaram o sonho da casa própria, e vão poder começar uma nova vida.

Desde o início de nosso mandato, já contratamos mais de 2 milhões de moradias do Minha Casa, Minha Vida. Era a meta para o governo inteiro, mas batemos com um ano de antecedência. Agora nossa meta é chegar a 3 milhões. 

Porque eu sei que ter uma casa para cuidar do seu filho é o sonho mais extraordinário para o homem e para a mulher. Não tem nada mais sagrado para uma família.

📸 @ricardostuckert",https://www.instagram.com/p/DWSCaoRFTk9/,766,11504,2026-03-24 21:12:48+00:00,politicas_sociais
3820376348565582661,Sidecar,"Tive uma produtiva reunião com o presidente do Panamá, @JoseRaulMulino. Em menos de dois anos, esta é a 6ª vez que nos encontramos. Isso é sinal do nosso compromisso em aprofundar vínculos econômicos e de cooperação entre nossos povos.

O Panamá é o principal parceiro comercial do Brasil na América Central. Em 2025, tivemos um crescimento de 78% no intercâmbio bilateral, e podemos alcançar patamares muito maiores.

Retorno a Brasília inspirado pela receptividade do povo panamenho e pelos avanços concretos que tivemos em nossa relação bilateral. Saio também com renovada certeza de que a América Latina e o Caribe são capazes de construir um projeto autônomo de inserção internacional. Juntos, podemos impulsionar um novo ciclo de prosperidade para 660 milhões de latino-americanos e caribenhos.

📸 @ricardostuckert",https://www.instagram.com/p/DUEtAw8jjNF/,6032,21709,2026-01-28 23:52:52+00:00,governo_instituicoes
3917909162986481420,Video,"Hoje é Dia dos Namorados, mas também é dia de celebrar tudo aquilo que nos une.

O amor que construímos em família, nas amizades e no cuidado com o nosso país. Vamos conversar sobre amor, sobre Brasil e sobre esperança. ❤️🇧🇷

🎥 @ricardostuckert",https://www.instagram.com/p/DZfNaAyDqcM/,18871,179392,2026-06-12 13:33:25+00:00,outros
