,id,type,caption,url,commentsCount,likesCount,timestamp,date,month,ai_guess
0,3934710268988636297,Video,"Domingo de Brasil na Copa e a gente tá como? Colando figurinha no álbum desse outro craque 😍⚽️ Com direito a comentários especiais!

E sabe o mais legal? Você também pode colecionar o álbum! Acesse o link que tá nos stories para baixar e relembrar a história do presidente Lula.

Compartilhe com quem também joga pelo Brasil! 💛🇧🇷

🔗 https://pt.org.br/link/crebkm1sif9hava",https://www.instagram.com/p/Daa5iSFJjyJ/,2057,64546,2026-07-05 18:02:43+00:00,2026-07-05,7,outros
1,3932674735367281188,Video,"Cada quilômetro da Transnordestina que avança leva junto a esperança de um Nordeste mais forte. Hoje entregamos mais 101 quilômetros dessa obra histórica, além de 100 novos vagões graneleiros e mais investimentos para acelerar o que ainda vem pela frente.

A Transnordestina não transporta apenas grãos, minério ou combustíveis. Ela transporta oportunidades. Gera emprego, fortalece a economia, impulsiona a produção e aproxima o Nordeste do futuro que seu povo merece.

Estamos construindo uma ferrovia que vai transformar a vida de milhões de brasileiros e mostrar que desenvolvimento de verdade chega quando o investimento chega onde as pessoas vivem.

🎥 @ricardostuckert",https://www.instagram.com/p/DaTqtXquFok/,5868,75341,2026-07-02 22:31:57+00:00,2026-07-02,7,economia_producao
2,3931890526354526474,Sidecar,"R$ 500 milhões para fortalecer a saúde e a educação na Bahia:

✅ Inauguração do novo Hospital Regional Litoral Norte, em Alagoinhas, com capacidade de atender meio milhão de habitantes dos municípios da região.

✅ Primeira policlínica 100% Novo PAC do país entregue em Camaçari.

✅ Também entregamos 256 veículos do Agora Tem Especialistas (entre vans, micro-ônibus, Unidades Odontológicas Móveis e ambulâncias do SAMU) para 150 municípios e 29 ônibus escolares para municípios baianos.

Agora seguimos para Vera Cruz, para dar início às obras da ponte Salvador - Ilha de Itaparica. É o Governo do Brasil trabalhando pelo povo baiano!

📸 
@ricardostuckert",https://www.instagram.com/p/DaQ4ZoHFdEK/,733,13185,2026-07-01 20:31:37+00:00,2026-07-01,7,politicas_sociais
3,3931993686007483531,Sidecar,"Um antigo sonho do povo baiano começa a se concretizar.

A Ponte Salvador – Itaparica é um dos maiores projetos de infraestrutura em execução no Brasil. 

O complexo tem 12,4 quilômetros de extensão, um vão central estaiado de 682 metros de comprimento e 85 metros de altura, além de acessos viários, uma via expressa em Vera Cruz e a duplicação de trecho da BA-001. O investimento supera R$ 11,5 bilhões, com R$ 3 bilhões do Novo PAC. 

Quando pronta, a estrutura vai reduzir em cerca de duas horas o deslocamento entre Salvador e o Baixo Sul da Bahia, com benefício para milhões de pessoas e fortalecimento de toda uma cadeia ligada ao turismo. 

Nessa fase inicial já há mais de 300 profissionais em atuação e 27 empresas nacionais contratadas para fornecer equipamentos, materiais e serviços. 

Emprego, renda, mobilidade, turismo e parceria com o setor privado, com benefício direto para os baianos.

📸 @ricardostuckert",https://www.instagram.com/p/DaRP2zBjgyL/,7653,124574,2026-07-01 23:56:35+00:00,2026-07-01,7,cultura_regionalidade
4,3931151268647896312,Sidecar,"Em Assunção, reafirmei que o MERCOSUL é uma necessidade estratégica para os nossos países. Mais do que um bloco econômico, é um projeto de integração capaz de fortalecer a América do Sul diante dos desafios do nosso tempo.

Defendemos uma integração que esteja acima das diferenças ideológicas, baseada na cooperação para enfrentar a crise climática, combater o crime organizado, fortalecer a democracia e promover os direitos humanos.

Também destaquei o potencial do PIX como referência internacional em inclusão financeira e inovação. Sua tecnologia pode servir de base para uma infraestrutura regional de pagamentos, reduzindo custos, fortalecendo o comércio entre os países do MERCOSUL, ampliando o uso de moedas locais e tornando nossas economias mais resilientes.
Seguimos trabalhando por um MERCOSUL mais integrado, moderno e próximo da vida das pessoas.

📸 @ricardostuckert",https://www.instagram.com/p/DaOQUAuFYT4/,1240,24898,2026-06-30 20:02:51+00:00,2026-06-30,6,governo_instituicoes
5,3932170342860996252,Sidecar,"Uma alegria imensa voltar a Salvador para entregar o Novo Teatro Castro Alves! 

Foram mais de R$ 260 milhões investidos para recuperar esse patrimônio do povo baiano e da cultura do Nordeste. 

Em um processo que uniu modernização tecnológica e respeito ao patrimônio histórico, a estrutura teve intervenções na mecânica cênica, na acústica, na iluminação, na segurança e na inclusão, com cabines de Libras, audiodescrição e legendagem simultânea. 
 
Mais de 2 mil trabalhadores participaram da reconstrução ao longo de três anos. 

Ficou lindo e pronto para receber nossos artistas e o público com conforto e comodidade. 

Investir em cultura também é gerar emprego, renda e orgulho para o nosso país. 

A cultura é prioridade em nosso governo porque preserva, fortalece e constrói a nossa identidade.

📸 @ricardostuckert",https://www.instagram.com/p/DaR4Bfijj6c/,1671,26013,2026-07-02 05:47:34+00:00,2026-07-02,7,cultura_regionalidade
6,3928172018730420807,Sidecar,"Investir na indústria naval de defesa é investir em soberania. Na primeira agenda do dia em Itajaí (SC), acompanhei o batismo da Fragata Cunha Moreira, o terceiro de quatro navios de alta tecnologia da classe Tamandaré, construído com mão de obra nacional qualificada para a Marinha do Brasil. 

As embarcações têm 107 metros de comprimento, convés de voo e hangar para helicópteros, além de radares, sistemas de armas avançados e sensores integrados, nos mais rigorosos padrões de navegabilidade, estabilidade, operação, desempenho e segurança. Entre outras funções, vão atuar para proteger as riquezas da chamada Amazônia Azul, área marítima de mais de 5,7 milhões de km².

O programa vai gerar 23 mil empregos (entre diretos, indiretos e induzidos) ao longo de sua execução. Investimento estimado de R$ 13,9 bilhões até 2030, dos quais R$ 10,5 bilhões pelo Novo PAC.  Um impulso à indústria e à qualificação de empresas nacionais para a produção, manutenção e modernização dos navios.

📸 @ricardostuckert",https://www.instagram.com/p/DaDq6OBDkpH/,2704,40915,2026-06-26 17:23:37+00:00,2026-06-26,6,economia_producao
7,3929065885179457514,Image,"Resultado histórico: o Brasil registrou a menor taxa de desemprego para um mês de maio desde o início da série histórica. Seguimos trabalhando para gerar mais emprego, renda e oportunidades para todos. 🇧🇷

📸 @ricardostuckert",https://www.instagram.com/p/DaG2JsBOi_q/,2574,11268,2026-06-27 23:01:01+00:00,2026-06-27,6,economia_producao
8,3928859660375127393,Video,"O Festival de Parintins é a maior expressão da cultura amazônica e um orgulho para todo o Brasil. Ao lado do presidente Lula, celebramos essa manifestação que movimenta nossa economia, fortalece o turismo, gera emprego, renda, prosperidade e leva a força da nossa identidade para o mundo.

Viva a cultura do Amazonas. Viva a prosperidade. Viva o nosso amor pelo Amazonas!",https://www.instagram.com/p/DaGHQuNBXVh/,358,46457,2026-06-27 16:11:26+00:00,2026-06-27,6,cultura_regionalidade
9,3927473747083499112,Sidecar,"Investir em produção de fertilizantes é investir na soberania alimentar do Brasil. A retomada das obras da Unidade de Fertilizantes Nitrogenados III, em Três Lagoas (MS), fortalece nosso agronegócio e a agricultura familiar, e reduz a dependência brasileira por fertilizantes importados.

PRODUÇÃO – A fábrica deve iniciar a operação comercial em 2029, e vai ter capacidade para produzir cerca de 1,3 milhão de toneladas de ureia por ano. Volume equivalente a aproximadamente 16% da demanda nacional.

EMPREGOS – As obras devem gerar aproximadamente 8 mil empregos diretos e indiretos, além de impulsionar a economia regional. Hospedagem, alimentação e serviços são alguns dos setores que serão fortalecidos.

LOGÍSTICA – A fábrica tem localização estratégica. O Centro-Oeste responde por cerca de 40% da demanda brasileira de ureia, impulsionada principalmente pelas culturas de milho, cana-de-açúcar, algodão e pastagens. Além disso, a fábrica vai exportar também para os estados do Sul e Sudeste.

O Brasil não pode ficar na mão do mercado mundial de fertilizantes. Não faz sentido termos a autossuficiência em petróleo, contarmos com uma gigante mundial do porte e da qualidade da Petrobras e, ainda assim, passarmos por dificuldades quando eclodem conflitos internacionais. Guerras que não são nossas. Por isso investimos em fábricas como esta, em Três Lagoas. Produzirmos nossos fertilizantes é questão de soberania!

📸  @ricardostuckert",https://www.instagram.com/p/DaBMJB3lZZo/,887,12187,2026-06-25 18:16:16+00:00,2026-06-25,6,economia_producao
10,3930981002213281920,Video,"Cheguei à Cúpula do Mercosul celebrando duas grandes vitórias: a do Brasil e a do Paraguai. No futebol e na integração, seguimos mostrando a força de uma América Latina unida. 🇧🇷🇵🇾⚽

🎥 @ricardostuckert",https://www.instagram.com/p/DaNpmTvu1CA/,3871,92437,2026-06-30 14:25:30+00:00,2026-06-30,6,governo_instituicoes
11,3928344929827168147,Sidecar,"Hoje visitei o Estaleiro Detroit, em Itajaí (SC), para ver em detalhes a retomada da nossa indústria naval. Com o Programa Mar Aberto da Petrobras, serão construídas 42 novas embarcações em Santa Catarina, com mais de 5 mil empregos diretos. Um dos navios será entregue já em julho, com dois anos de antecedência em relação ao prazo original. 

Em todo o país, o programa prevê a construção de 96 embarcações até 2032, com investimentos estimados de R$ 32 bilhões. A iniciativa contempla a construção e o afretamento de 40 novas embarcações de apoio para suporte às atividades de exploração e produção de petróleo e a construção de 20 navios de cabotagem, 18 barcaças e 18 empurradores destinados à renovação da frota da Transpetro. 

O programa estabelece exigência mínima de 40% de nacionalização na etapa de construção e conta com financiamento do Fundo da Marinha Mercante. Ações que estimulam um ciclo de novos negócios e oportunidades e fortalecem a cadeia produtiva, com tecnologia de ponta para reduzir emissões e economizar combustível nas embarcações, em linha com a transição energética.

📸 @ricardostuckert",https://www.instagram.com/p/DaESOaBjh-T/,2342,16153,2026-06-26 23:07:09+00:00,2026-06-26,6,economia_producao
